fuente,semana_inicio,serie,importe_observado,importe_estimado,estado,metodo
compras,2021-05-24,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-09,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-16,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-30,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-03-07,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-11,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-18,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-02,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-16,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-23,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-04,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-11,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-10-10,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-04-10,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-05-08,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-06-19,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-07-03,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-08-28,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-10-23,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-01,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-29,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-02-19,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-03-18,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-04-15,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-10,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-24,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-09,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-16,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-30,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-03-07,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-11,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-18,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-02,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-16,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-23,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-04,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-11,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-10-10,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-04-10,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-05-08,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-06-19,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-07-03,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-08-28,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-10-23,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-01,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-29,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-02-19,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-03-18,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-04-15,CHANTILLY,,52.921875,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-10,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-24,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,CHOCOLATE,,74.47890625,estimado_promedio_simple,media_aritmetica_categoria
