semana_inicio,ACEITE,ADMINISTRACION,AMBIANTE,AZUCAR,BASES,CAPACILLOS,CASETAS,CHANTILLY,CHOCOLATE,CINTA,COLORANTES,CONSUMIBLES,DECORACION,DOMO,DULCERIA,EMPAQUE,FONDANT,GALLETAS,HARINA,HORNEADO,HUEVO,JARABE,LECHE,LECHE EN POLVO,LECHERA,LICORES,MANTECA VEGETAL,MANTEQUILLA,NO DEFINIDO,OTROS,QUESO CREMA,RELLENO,ROYALICING,SABORIZANTE,TRANSFER,VELAS,total,estado_dato
2019-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-09-09,0.0,0.0,0.0,0.0,6.5,25.0,0.0,78.0,17.5,0.0,0.0,9.0,0.0,0.0,0.0,51.0,95.0,0.0,176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.5,observado
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-09-23,0.0,0.0,0.0,0.0,8.5,54.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,6.0,51.0,0.0,0.0,165.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,49.5,0.0,0.0,0.0,0.0,372.5,observado
2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-04-13,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,506.0,observado
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,55.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,observado
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-06-08,0.0,0.0,50.0,0.0,0.0,12.5,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,observado
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,observado
2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-09-21,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.5,observado
2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ausente_fuera_de_alcance
2020-10-05,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,63.5,observado
