semana_inicio,importe_nominal,available_at,es_sintetico,estado_dato
2023-12-11,2410.0,2023-12-18,False,observado
2023-12-18,1020.0,2023-12-25,False,observado
2023-12-25,2500.0,2024-01-01,False,observado
2024-01-01,2685.0,2024-01-08,False,observado
2024-01-08,2490.0,2024-01-15,False,observado
2024-01-15,525.0,2024-01-22,False,observado
2024-01-22,1250.0,2024-01-29,False,observado
2024-01-29,8325.0,2024-02-05,False,observado
2024-02-05,2440.0,2024-02-12,False,observado
2024-02-12,3710.0,2024-02-19,False,observado
2024-02-19,1360.0,2024-02-26,False,observado
2024-02-26,9060.0,2024-03-04,False,observado
2024-03-04,2170.0,2024-03-11,False,observado
2024-03-11,810.0,2024-03-18,False,observado
2024-03-18,880.0,2024-03-25,False,observado
2024-03-25,4170.0,2024-04-01,False,observado
2024-04-01,940.0,2024-04-08,False,observado
2024-04-08,5620.0,2024-04-15,False,observado
2024-04-15,2250.0,2024-04-22,False,observado
2024-04-22,650.0,2024-04-29,False,observado
2024-04-29,14105.0,2024-05-06,False,observado
2024-05-06,2240.0,2024-05-13,False,observado
2024-05-13,3530.0,2024-05-20,False,observado
2024-05-20,1590.0,2024-05-27,False,observado
2024-05-27,,2024-06-03,False,ausente_fuera_de_alcance
2024-06-03,1440.0,2024-06-10,False,observado
2024-06-10,4890.0,2024-06-17,False,observado
2024-06-17,4385.0,2024-06-24,False,observado
2024-06-24,3885.0,2024-07-01,False,observado
2024-07-01,2020.0,2024-07-08,False,observado
2024-07-08,5145.0,2024-07-15,False,observado
2024-07-15,3450.0,2024-07-22,False,observado
2024-07-22,1050.0,2024-07-29,False,observado
2024-07-29,580.0,2024-08-05,False,observado
2024-08-05,400.0,2024-08-12,False,observado
2024-08-12,990.0,2024-08-19,False,observado
2024-08-19,760.0,2024-08-26,False,observado
2024-08-26,6245.0,2024-09-02,False,observado
2024-09-02,,2024-09-09,False,ausente_fuera_de_alcance
2024-09-09,6720.0,2024-09-16,False,observado
2024-09-16,,2024-09-23,False,ausente_fuera_de_alcance
2024-09-23,350.0,2024-09-30,False,observado
2024-09-30,,2024-10-07,False,ausente_fuera_de_alcance
2024-10-07,1800.0,2024-10-14,False,observado
2024-10-14,,2024-10-21,False,ausente_fuera_de_alcance
2024-10-21,,2024-10-28,False,ausente_fuera_de_alcance
2024-10-28,6400.0,2024-11-04,False,observado
2024-11-04,,2024-11-11,False,ausente_fuera_de_alcance
2024-11-11,,2024-11-18,False,ausente_fuera_de_alcance
2024-11-18,2075.0,2024-11-25,False,observado
2024-11-25,6270.0,2024-12-02,False,observado
2024-12-02,6420.0,2024-12-09,False,observado
2024-12-09,710.0,2024-12-16,False,observado
2024-12-16,1750.0,2024-12-23,False,observado
2024-12-23,2270.0,2024-12-30,False,observado
2024-12-30,1090.0,2025-01-06,False,observado
2025-01-06,1100.0,2025-01-13,False,observado
2025-01-13,430.0,2025-01-20,False,observado
2025-01-20,752.375,2025-01-27,False,observado
2025-01-27,,2025-02-03,False,ausente_fuera_de_alcance
2025-02-03,580.0,2025-02-10,False,observado
2025-02-10,2992.75,2025-02-17,False,observado
2025-02-17,650.0,2025-02-24,False,observado
2025-02-24,280.0,2025-03-03,False,observado
2025-03-03,431.75,2025-03-10,False,observado
2025-03-10,,2025-03-17,False,ausente_fuera_de_alcance
2025-03-17,,2025-03-24,False,ausente_fuera_de_alcance
2025-03-24,700.0,2025-03-31,False,observado
2025-03-31,450.0,2025-04-07,False,observado
2025-04-07,310.0,2025-04-14,False,observado
2025-04-14,,2025-04-21,False,ausente_fuera_de_alcance
2025-04-21,1192.0,2025-04-28,False,observado
2025-04-28,1668.35,2025-05-05,False,observado
2025-05-05,1067.53,2025-05-12,False,observado
2025-05-12,1500.0,2025-05-19,False,observado
2025-05-19,2011.3,2025-05-26,False,observado
2025-05-26,1.22,2025-06-02,False,observado
2025-06-02,1001.0799999999999,2025-06-09,False,observado
2025-06-09,2620.0,2025-06-16,False,observado
2025-06-16,,2025-06-23,False,ausente_fuera_de_alcance
2025-06-23,564.15,2025-06-30,False,observado
2025-06-30,930.0,2025-07-07,False,observado
2025-07-07,900.0,2025-07-14,False,observado
2025-07-14,1480.0,2025-07-21,False,observado
2025-07-21,400.0,2025-07-28,False,observado
2025-07-28,,2025-08-04,False,ausente_fuera_de_alcance
