descripcion_normalizada,insumo_id,aprobado,decision,evidencia
CARBOXIMETIL CELULOSA DEIMAN,,False,revisar,
CARLOS V,,False,revisar,
CARLOS V 8 PZ,,False,revisar,
CARLOS V STK,,False,revisar,
CARNATION,,False,revisar,
CELOFAN 12X13,,False,revisar,
CELOFAN 12X18 SELLO,,False,revisar,
CELOFAN 6X25 100 PZ,,False,revisar,
CELOFAN 8X12,,False,revisar,
CELOFAN 9X12 100 PZ,,False,revisar,
CELOFAN 9X15,,False,revisar,
CEREZA CON RABO DIANA,,False,revisar,
CEREZAS,,False,revisar,
CHANT DULL,,False,revisar,
CHANTILLI,,False,revisar,
CHANTILLI 5KG,,False,revisar,
CHANTILLI ASTURIAS,,False,revisar,
CHANTILLI DULL,,False,revisar,
CHANTILLY,,False,revisar,
CHANTILLY 5 KG ASTURIAS,,False,revisar,
CHANTILLY DULCE,,False,revisar,
CHAROLA GALLETERA ALTA GRANDE,,False,revisar,
CHAROLAS,,False,revisar,
CHIPS AMARILLO ALPEZZI C/500 GR,,False,revisar,
CHIPS BLANCO ALPEZI C/500 G,,False,revisar,
CHIPS BLANCO ALPEZZI,,False,revisar,
CHIPS BLANCO ALPEZZI 500 G,,False,revisar,
CHIPS BLANCO ALPEZZI C/ 500 G,,False,revisar,
CHIPS BLANCO APLEZZI C/ 500G,,False,revisar,
CHIPS CHOCOLATE CON L,,False,revisar,
CHIPS CHOCOLATE SEMI,,False,revisar,
CHIPS LINEA HORNEAS A,,False,revisar,
CHIPS NEGRO ALPEZZI C/500G,,False,revisar,
CHIPS ROJO ALPEZZI C/,,False,revisar,
CHIPS ROJO ALPEZZI C/ 500 G,,False,revisar,
CHIPS ROJO ALPEZZI C/500G,,False,revisar,
CHIPS ROSA ALPEZZI C/500G,,False,revisar,
CHIPS SABOR CHOCOLATE SEMIAMARGO,,False,revisar,
CHOCOLATE,,False,revisar,
CHOCOLATE BLANCO SICA,,False,revisar,
CHOCOLATE CARLOS V,,False,revisar,
CHOCOLATE COVERLUX BLANCO PURATOS,,False,revisar,
CHOCOLATE HERSHEY'S,,False,revisar,
CL CORTA U,,False,revisar,
COCOA EN POLVO ALPES,,False,revisar,
COCOA HERSHEY'S C 1KG,,False,revisar,
COFIA,,False,revisar,
COLOR AZUL BRILLANTE ENCO,,False,revisar,
COLOR GEL NEGRO,,False,revisar,
COLOR HUMEDO,,False,revisar,
COLOR LIQUIDO SURTIDO,,False,revisar,
COLOR MORADO ENCO 40G,,False,revisar,
COLOR NEGRO ENCO 40G,,False,revisar,
COLOR ROJO ENCO 40G,,False,revisar,
COLOR ROSA BRILLANTE ENCO 40G,,False,revisar,
COMISION COBRO CON TARJEA,,False,revisar,
CONEJO MEDIANO,,False,revisar,
CONFETI,,False,revisar,
CONFITER SEMI AMARGO,,False,revisar,
CONFITERIA,,False,revisar,
CONFITIER AMARGO 70%,,False,revisar,
CONFITIER BLANCO TURIN,,False,revisar,
CONFITIER CHOCOLATE SEMIAMARGO TU,,False,revisar,
CONFITIER CHOCOLATE SEMIAMARGO TURIN,,False,revisar,
CONFITIER LECHE TURIN,,False,revisar,
CONFITIER SEMIAMARGO TURIN,,False,revisar,
CONTENEDOR,,False,revisar,
CORAZON CHICO,,False,revisar,
CORTADOR,,False,revisar,
CORTADOR DE PASTEL,,False,revisar,
CORTADORES,,False,revisar,
"CORTADORES, MOLDES Y DUYAS",,False,revisar,
CORTAGALLETAS,,False,revisar,
CREAM CHEESE FILLING PURATOS,,False,revisar,
CREMA BATIDA CHANTILLI ASTURIAS,,False,revisar,
CREMA CACAHUATE SUELTA,,False,revisar,
CREMA PARA BATIR AMBIANTE 1 LT,,False,revisar,
CREMA PASTELERA COCO,,False,revisar,
CREMA TIPO CHANTILLI,,False,revisar,
CREMAS,,False,revisar,
CREMFIL CREAM CHEESE FILLING PURATOS,,False,revisar,
CUBREBOCA TRICAPA NEGRO Y DE,,False,revisar,
CUPCAKE 12,,False,revisar,
CUPCAKE 6,,False,revisar,
CUPCAKES DE 6 CAV,,False,revisar,
DE ABEJA,,False,revisar,
DEIMAN ADITIVO PARA CHOCOLATE,,False,revisar,
DEIMAN BIOXIDO DE TITANIO,,False,revisar,
DEIMAN PLUMONES MAGICOS,,False,revisar,
DEIMAN SAB LIQ VAINILLA SIN COLOR 500 ML,,False,revisar,
DESCONOCIDO,,False,revisar,
DIAMANTINA,,False,revisar,
DIFERENCIA CONTRA LO COBRADO,,False,revisar,
DISCO DORADO PASTELOSO 32 CM,,False,revisar,
DJANA CEREZA C/ TALLO 460G,,False,revisar,
DLR MALV C/ CHOCOLATE 32 PZ,,False,revisar,
DLR MALV C/CHOCOLATE 32 PZ,,False,revisar,
DLR MALV C/CHOCOLATE 50 PZ,,False,revisar,
DMONTE ELOTE,,False,revisar,
DOLCA,,False,revisar,
DOMO,,False,revisar,
DOMO 1/2 DE PLANCHA INIX,,False,revisar,
DOMO 1/2 PLANCHA INI,,False,revisar,
DOMO 1/4 PLANCHA,,False,revisar,
DOMO 12,,False,revisar,
DOMO 15-14,,False,revisar,
DOMO 28 CM INIX MEDIA,,False,revisar,
DOMO 4 MAN,,False,revisar,
DOMO 6 CUPCAKES,,False,revisar,
DOMO ALTO 33 CM INIX,,False,revisar,
DOMO DB09 27 CM WOW,,False,revisar,
DOMO DB3525A,,False,revisar,
DOMO DF12A 34CM WOW,,False,revisar,
DOMO ERA 2416-10M,,False,revisar,
