fecha,evento,tipo,peso_comercial
2020-07-15,Graduaciones,COMERCIAL,4
2020-07-15,Pago_Quincenal,PAGO,3
2020-07-17,Pago_Semanal,PAGO,1
2020-07-24,Pago_Semanal,PAGO,1
2020-07-31,Pago_Mensual,PAGO,2
2020-07-31,Pago_Semanal,PAGO,1
2020-07-31,Pago_Quincenal,PAGO,3
2020-08-07,Pago_Semanal,PAGO,1
2020-08-14,Pago_Semanal,PAGO,1
2020-08-15,Pago_Quincenal,PAGO,3
2020-08-21,Pago_Semanal,PAGO,1
2020-08-28,Pago_Semanal,PAGO,1
2020-08-31,Pago_Mensual,PAGO,2
2020-08-31,Pago_Quincenal,PAGO,3
2020-09-04,Pago_Semanal,PAGO,1
2020-09-11,Pago_Semanal,PAGO,1
2020-09-15,Pago_Quincenal,PAGO,3
2020-09-16,Fiestas_Patrias,COMERCIAL,3
2020-09-18,Pago_Semanal,PAGO,1
2020-09-25,Pago_Semanal,PAGO,1
2020-09-30,Pago_Quincenal,PAGO,3
2020-09-30,Pago_Mensual,PAGO,2
2020-10-02,Pago_Semanal,PAGO,1
2020-10-09,Pago_Semanal,PAGO,1
2020-10-15,Pago_Quincenal,PAGO,3
2020-10-16,Pago_Semanal,PAGO,1
2020-10-23,Pago_Semanal,PAGO,1
2020-10-30,Pago_Semanal,PAGO,1
2020-10-31,Pago_Mensual,PAGO,2
2020-10-31,Pago_Quincenal,PAGO,3
2020-10-31,Halloween,COMERCIAL,5
2020-11-01,Dia_Muertos,COMERCIAL,5
2020-11-02,Dia_Muertos,COMERCIAL,5
2020-11-06,Pago_Semanal,PAGO,1
2020-11-13,Pago_Semanal,PAGO,1
2020-11-15,Pago_Quincenal,PAGO,3
2020-11-20,Pago_Semanal,PAGO,1
2020-11-27,Pago_Semanal,PAGO,1
2020-11-30,Pago_Mensual,PAGO,2
2020-11-30,Pago_Quincenal,PAGO,3
2020-12-04,Pago_Semanal,PAGO,1
2020-12-11,Pago_Semanal,PAGO,1
2020-12-12,Guadalupe,COMERCIAL,2
2020-12-15,Pago_Quincenal,PAGO,3
2020-12-16,Posadas,COMERCIAL,4
2020-12-18,Pago_Semanal,PAGO,1
2020-12-24,Navidad,COMERCIAL,5
2020-12-25,Navidad,COMERCIAL,5
2020-12-25,Pago_Semanal,PAGO,1
2020-12-31,Pago_Mensual,PAGO,2
2020-12-31,Fin_Anio,COMERCIAL,5
2020-12-31,Pago_Quincenal,PAGO,3
2021-01-01,Pago_Semanal,PAGO,1
2021-01-06,Reyes,COMERCIAL,5
2021-01-08,Pago_Semanal,PAGO,1
2021-01-15,Pago_Quincenal,PAGO,3
2021-01-15,Pago_Semanal,PAGO,1
2021-01-22,Pago_Semanal,PAGO,1
2021-01-29,Pago_Semanal,PAGO,1
2021-01-31,Pago_Quincenal,PAGO,3
2021-01-31,Pago_Mensual,PAGO,2
2021-02-05,Pago_Semanal,PAGO,1
2021-02-12,Pago_Semanal,PAGO,1
2021-02-14,San_Valentin,COMERCIAL,5
2021-02-15,Pago_Quincenal,PAGO,3
2021-02-19,Pago_Semanal,PAGO,1
2021-02-26,Pago_Semanal,PAGO,1
2021-02-28,Pago_Mensual,PAGO,2
2021-02-28,Pago_Quincenal,PAGO,3
2021-03-05,Pago_Semanal,PAGO,1
2021-03-08,Dia_Mujer,COMERCIAL,2
2021-03-12,Pago_Semanal,PAGO,1
2021-03-15,Pago_Quincenal,PAGO,3
2021-03-19,Pago_Semanal,PAGO,1
2021-03-26,Pago_Semanal,PAGO,1
2021-03-31,Pago_Mensual,PAGO,2
2021-03-31,Pago_Quincenal,PAGO,3
2021-04-02,Pago_Semanal,PAGO,1
2021-04-09,Pago_Semanal,PAGO,1
2021-04-15,Pago_Quincenal,PAGO,3
2021-04-16,Pago_Semanal,PAGO,1
2021-04-23,Pago_Semanal,PAGO,1
2021-04-30,Pago_Quincenal,PAGO,3
2021-04-30,Pago_Semanal,PAGO,1
2021-04-30,Pago_Mensual,PAGO,2
2021-04-30,Dia_Nino,COMERCIAL,4
2021-05-07,Pago_Semanal,PAGO,1
2021-05-10,Dia_Madres,COMERCIAL,5
2021-05-14,Pago_Semanal,PAGO,1
2021-05-15,Pago_Quincenal,PAGO,3
2021-05-15,Dia_Maestro,COMERCIAL,2
2021-05-21,Pago_Semanal,PAGO,1
2021-05-28,Pago_Semanal,PAGO,1
2021-05-31,Pago_Quincenal,PAGO,3
2021-05-31,Pago_Mensual,PAGO,2
2021-06-04,Pago_Semanal,PAGO,1
2021-06-11,Pago_Semanal,PAGO,1
2021-06-15,Pago_Quincenal,PAGO,3
2021-06-15,Graduaciones,COMERCIAL,4
2021-06-18,Pago_Semanal,PAGO,1
2021-06-20,Dia_Padre,COMERCIAL,4
2021-06-25,Pago_Semanal,PAGO,1
2021-06-30,Pago_Mensual,PAGO,2
2021-06-30,Pago_Quincenal,PAGO,3
2021-07-02,Pago_Semanal,PAGO,1
2021-07-09,Pago_Semanal,PAGO,1
2021-07-15,Pago_Quincenal,PAGO,3
2021-07-15,Graduaciones,COMERCIAL,4
2021-07-16,Pago_Semanal,PAGO,1
2021-07-23,Pago_Semanal,PAGO,1
2021-07-30,Pago_Semanal,PAGO,1
2021-07-31,Pago_Quincenal,PAGO,3
2021-07-31,Pago_Mensual,PAGO,2
2021-08-06,Pago_Semanal,PAGO,1
2021-08-13,Pago_Semanal,PAGO,1
2021-08-15,Pago_Quincenal,PAGO,3
2021-08-20,Pago_Semanal,PAGO,1
2021-08-27,Pago_Semanal,PAGO,1
2021-08-31,Pago_Mensual,PAGO,2
2021-08-31,Pago_Quincenal,PAGO,3
2021-09-03,Pago_Semanal,PAGO,1
2021-09-10,Pago_Semanal,PAGO,1
2021-09-15,Pago_Quincenal,PAGO,3
2021-09-16,Fiestas_Patrias,COMERCIAL,3
2021-09-17,Pago_Semanal,PAGO,1
2021-09-24,Pago_Semanal,PAGO,1
2021-09-30,Pago_Quincenal,PAGO,3
2021-09-30,Pago_Mensual,PAGO,2
2021-10-01,Pago_Semanal,PAGO,1
2021-10-08,Pago_Semanal,PAGO,1
2021-10-15,Pago_Quincenal,PAGO,3
