insumo,importe,acumulado_pct
para_12_cupcakes,37.0,95.96584628090817
capacillo_navidad,37.0,96.02270972120472
azucar,37.0,96.07957316150126
au_azucar,37.0,96.1364366017978
caja_de_acetato_corazon_chico,36.0,96.19176319235659
escencia_rompope,36.0,96.24708978291538
perlitas,35.0,96.30087952373643
oreo_econopack,35.0,96.35466926455749
confiteria,35.0,96.40845900537853
leche_evaporada,34.4,96.46132663635694
luneta_m_m_s_grande,34.0,96.51357952744024
domo_4_man,34.0,96.56583241852354
gv_barq_ch,34.0,96.61808530960685
molde_cupcake_6_pz,34.0,96.67033820069015
huevo_cresta_roj,33.5,96.72182266690459
estrellas,33.0,96.77253870825015
puratos_satin,33.0,96.8232547495957
crema_pastelera_coco,32.0,96.87243394120352
base_33x3_medida_sin_confirmar,32.0,96.92161313281134
iberia_90,31.0,96.96925547468142
deiman_sab_liq_vainilla_sin_color_500_ml,30.54,97.01619086567213
mantequilla_sin_sal,30.5,97.06306478267332
iberia_200,30.0,97.10917027480565
hue12pzcr,30.0,97.15527576693799
guante_esteril_par_latex,30.0,97.20138125907032
empaque_1_4_de_plancha,30.0,97.24748675120264
cocoa_hershey_s_c_1_kg,30.0,97.29359224333497
papel_estrella_pliego,30.0,97.3396977354673
domo_12,30.0,97.38580322759964
calahua_cre,29.5,97.43114029486308
granillo_turin,28.5,97.4749405123888
base_fantasia_pasteloso_28_cm,28.0,97.51797230504563
confitier_amargo_70,28.0,97.56100409770248
base_25x35,28.0,97.60403589035931
entrepisos,28.0,97.64706768301615
celofan_8_x_12,27.32,97.68905441785132
plato_rigido_negro_re,27.0,97.73054936077042
galleta_oreo_suelta,27.0,97.77204430368953
turin_amargo,26.5,97.81277082173975
base_de_liston_26,26.0,97.8527289149211
nuez_granillo,26.0,97.89268700810244
celofan_12_x_13,25.97,97.93259899579166
granillo_alpessi_colo,25.2,97.97132760918281
granillo_chocolate_combinado_turin,25.0,98.00974885262642
capacillo_metalico_vencort,25.0,98.04817009607004
bolsa_10_x_15,25.0,98.08659133951365
bolsa_de_celofan,25.0,98.12501258295724
kiss_almendra,25.0,98.16343382640085
rutz,25.0,98.20185506984446
vela_chispa,25.0,98.24027631328806
capacillos_a_granel,25.0,98.27869755673167
capacillo_no_69_decorado_40_pz,24.08,98.31570489841656
mariasdor,24.0,98.35258929212242
granillo_turin_blanco,24.0,98.38947368582828
granillo_turin_leche,24.0,98.42635807953415
sicao_blanco_real,24.0,98.46324247324002
bolas_de_pom_pom,24.0,98.50012686694586
nido_f_120,24.0,98.53701126065172
base_plateada_pasteloso_35_x_47_cm,23.0,98.57235880461985
celofan_6x25_100_pz,22.91,98.60756803211159
lechera,22.5,98.64214715121082
cocoa_en_polvo_alpes,22.0,98.6759578454412
capacillos_150_capacillos,22.0,98.70976853967157
contenedor,22.0,98.74357923390194
caja_ic,22.0,98.77738992813232
fecula_de_maiz,22.0,98.81120062236269
brocheta_bambco_30_cm,22.0,98.84501131659307
harina_selecta,21.5,98.87805358595458
granillo_t_s,21.5,98.91109585531606
caja_17_x_11_x_3,21.0,98.9433696998087
base_extrafuerte_20_cm_c_blonda,20.01,98.97412206306096
luneta,20.0,99.00485905781585
domo_df12a_34_cm_wow,20.0,99.03559605257074
palo_para_brocheta,20.0,99.06633304732563
chocolate_carlos_v,20.0,99.09707004208052
granillo_magic_colors_varios,20.0,99.12780703683539
capacillos_40_capacillos,20.0,99.15854403159028
celofan_12_x_18_sello,20.0,99.18928102634517
azucar_estandar,20.0,99.22001802110006
chocolate_hershey_s,19.0,99.24921816611719
domo_grande,19.0,99.27841831113433
maizena160,18.0,99.30608160641373
cacao_bremen,18.0,99.33374490169314
chocolate_coverlux_blanco_puratos,18.0,99.36140819697252
perla_plateada,17.5,99.38830306738305
celofan_9x15,16.68,99.41393772100862
suspiro,16.0,99.43852731681253
saborizant,15.0,99.4615800628787
goma_aro_durazno_luck,15.0,99.48463280894487
base_dorada_pasteloso_32_cm,15.0,99.50768555501102
capacillos_73,15.0,99.53073830107719
base_32,15.0,99.55379104714336
alpezzi_14000,15.0,99.57684379320952
goma_ricolino,15.0,99.59989653927568
entrepiso_34_cm,15.0,99.62294928534185
perla_colores,15.0,99.64600203140802
celofan_9x12,14.94,99.66896256648991
domo_db09_27_cm_wow,14.5,99.6912468876872
color_gel_negro,14.5,99.7135312088845
disco_dorado_pasteloso_32_cm,14.0,99.73504710521291
sicao_blanco,14.0,99.75656300154134
vainilla,13.0,99.77654204813201
capacillos_72,12.5,99.79575266985383
base_plateada_pasteloso_30_cm,12.0,99.81419486670676
base_dorada_pasteloso_28_cm,12.0,99.83263706355969
entrepiso_tetrapack,11.5,99.85031083554374
alpura_med,11.4,99.86783092255402
domo_28_cm_inix_media,11.0,99.88473626966922
domo_alto_33_cm_inix,10.0,99.90010476704666
papel_quilon_para_hornear,10.0,99.9154732644241
cubreboca_tricapa_negro_y_de,10.0,99.93084176180153
estrella_colores,8.0,99.94313655970349
granillo_magic_sparkl,8.0,99.95543135760545
cofia,6.0,99.96465245603191
