descripcion_normalizada,insumo_id,aprobado
INIX CONTENEDOR MANTECADAS 25 PZ,,False
INIX CONTENEDOR MULTIUSOS 25 PZ,,False
JARABE TRES LECHES DULCERITO PURATOS,,False
JUMEX COCO,,False
KISS ALMENDRA,,False
KISS LECHE,,False
KISS ROSA,,False
KISSES,,False
KISSES LECHE,,False
KISSES LECHE CHOC BL 807 GR,,False
KISSES PLATEADOS,,False
KISSES ROJO,,False
KIT KAT 9 PZ,,False
KRAFT PARME,,False
LECHE DESLACTOSADA,,False
LECHERA,,False
LECHERA SUELTA,,False
LETRERO,,False
LISTON BOLAS DIF,,False
LOCKER DESPENSERO CHOCOLATE,,False
LONA DE 80X180 CM,,False
LUNETA,,False
LUNETA MINI M&M'S,,False
MAIZENA160,,False
MALV C/ CHOCOLATE 32 PZ COD,,False
MANGA CHICA,,False
MANGA DESECHABLE CHICA,,False
MANGA DESHECHABLE,,False
MANGA DESHECHABLE CHICA,,False
MANGA DURAZNO PURATOS,,False
MANGA FRESA PURA,,False
MANGA GRANDE,,False
MANGA N.12,,False
MANGA P/ DECORAR COLOR VERDE ALEGR,,False
MANGA PARA DECORAR COLOR VERDE,,False
MANGA PINA,,False
MANGA ZARZAMORA PURATOS,,False
MANGAS,,False
MANGAS CHICAS,,False
MANGAS MED,,False
MANTECA,,False
MANTEQUILLA 1 KG GLORIA VERDE,,False
MANTEQUILLA 225 G,,False
MANTEQUILLA 225 G GLORIA,,False
MANTEQUILLA 225GR GLORIA,,False
MANTEQUILLA 225GR GLORIA VERDE,,False
MANTEQUILLA GLORIA,,False
MANTEQUILLA GLORIA 22,,False
MANTEQUILLA GLORIA VERDE,,False
MANTEQUILLA SIN SAL,,False
MARG245G,,False
MARG245GR,,False
MARGARITA ARTIFICIAL,,False
MARIAN SURTIDO NAVIDENO 340G,,False
MARIASDOR,,False
MARS M&M MINI VIT 215.6G,,False
MATIZADOR,,False
MCADES DE SILICON,,False
MINI M&M'S,,False
MINICACAHUATE,,False
MOLDE,,False
MOLDE 22 CM,,False
MOLDE ACETATO,,False
MOLDE CHOCOLATE,,False
MOLDE CUPCAKE (6 PZ),,False
MOLDE DE SILICON,,False
MOLDE DE SILICON GIRASOL,,False
MOLDE F 16,,False
MOLDE F 16CM,,False
MOLDE F 18,,False
MOLDE F 22CM,,False
MOLDE F 28CM,,False
MOLDE F#18,,False
MOLDE PARA CHOCOLATE,,False
MOLDE PARA PASTEL,,False
MOLDE R22,,False
MR PLAYERA,,False
ND,,False
NESCAFE 4,,False
NESTLE BOTA FELICES FIESTAS,,False
NESTLE CARLOS V STICK 20 PZ,,False
NIDO F 120,,False
NIDO FORTI,,False
NOTAS 1/4 CUPCAKE,,False
NUEZ,,False
NUEZ GRANILLO,,False
NUEZ PEDAZO,,False
NUTELLA,,False
NUTELLA 1 KG,,False
NUTELLA 650G,,False
NUTELLA CHICA 350 GRS,,False
NUTELLA FRASCO 950 G,,False
NUTELLA GRANDE 650 GR,,False
OBLEA ARROZ,,False
OBLEA FROZEN,,False
OREO,,False
OREO 273.6,,False
OREO CHARO,,False
OREO DISP,,False
OREO ECONOPACK,,False
OREO FUDGE,,False
OREO VAINILLA,,False
PALO PARA BROCHETA,,False
PANERA 16CM,,False
PANERA RECTO ALUMINIO #16,,False
PAPEL ENCERADO,,False
PAPEL ESTRELLA PLIEGO,,False
PAPEL PELICULA 150M META FILM,,False
PAPEL QUILON PARA HORNEAR,,False
PAQUETE PALITOS PARA PALETAS,,False
PARA 12 CUPCAKES,,False
PASA GRANDE CHILENA,,False
PASTEL ALTO,,False
PASTIREAL MANGA NO. 12,,False
PEAJE,,False
PEGAMENTO DE FONDANT,,False
PEGAMENTO PARA FONDANT 30 ML,,False
"PEGATINAS, MOLDES, REJILLA, DUYA",,False
PELICULA 150,,False
PERLA,,False
PERLA COLORES,,False
PERLA DORADA,,False
PERLA NEON Y CONFETI MA BAKER,,False
PERLA PLATEADA,,False
PERLAS,,False
PERLAS Y GRANILLO,,False
PERLAS Y GRANILLO DIAMANTADO MA B,,False
PERLITAS,,False
PHILADELPHIA QSO,,False
PHILLY QSO,,False
PINCEL,,False
PINCELES,,False
PINZAS,,False
"PIPETILLAS, BALANZA ELECTRONICA, TEMPORIZADOR, MOLDE DE PRENSA",,False
PLATANITOS,,False
PLATO RIGIDO NEGRO RE,,False
PLUMIN,,False
PLUMON MA MARKET,,False
PORTA,,False
PRO 2 PACK,,False
PURATO,,False
PURATOS CHOCOLATE,,False
PURATOS CREAMFIL CREME CHOCO,,False
PURATOS FRUITFIL FRESA 1 KG,,False
PURATOS FRUITFIL ZARZAMORA 1 KG,,False
PURATOS SATIN,,False
PURATOS TRES LECHES,,False
PURATOS TRES LECHES VAINILLA,,False
PURATOS VAINILLA,,False
QSOCREMAPHILADE 200G,,False
QUESO CREMA PHILADELPHIA,,False
QUESO CREMA SUELTO,,False
QUESO PHILADELPHIA,,False
QUESO PHILADELPHIA 190G,,False
RASPA,,False
REBANADAS DE PINA EN ALMIBAR 800G,,False
RED VELVET,,False
RELLENO COCO,,False
RELLENO DE BAILEYS,,False
RELLENO DURAZNO PURATOS,,False
RELLENO FRESA FRUTIFIL PURATOS,,False
RELLENO FRESA FRUTIFRU,,False
RELLENO QUESO CREME P,,False
RELLENO ZARZAMORA FRUITFILL PURAT,,False
RELLENO ZARZAMORA PURATOS,,False
REMOVEDOR,,False
REMOVEDOR 15,,False
"REYMA TAPA N.10, 50 PZ",,False
REYMA VASO N.10 50 PZ,,False
RICH PINA COLADA,,False
RK MALV,,False
RODILLO DE SILICON,,False
ROLLO 45,,False
ROMPOPE CORONADO,,False
ROSAS ARTIFICIALES,,False
ROYAL ICING,,False
ROYAL ICING DEIMAN 50,,False
ROYAL ICING DEIMAN 500G,,False
ROYAL ICING ENCO,,False
RUTZ,,False
SABOR RED VELVET,,False
SABORIZANT,,False
SABROSANO,,False
SAN JUAN HVO,,False
SANTA CLAR,,False
SICAO BLANCO,,False
SICAO BLANCO REAL,,False
SJUAN HVO,,False
SOPORTES,,False
SOYARADIR,,False
SPRINKLES,,False
SRPINKLES,,False
SUSPIRO,,False
TAPA REYMA C/50,,False
TAPETE DE SILICON,,False
TARJETAS CUPCAKES Y DJ,,False
TEGRAL SATIN CREME CA,,False
TEGRAL SATIN CREME CAKE CHOCOLATE,,False
TEGRAL SATIN CREME CAKE PURATOS,,False
TEGRAL SATIN CREME CAKE VAINILLA,,False
TEGRAL SATIN CREMEA CAKE VAINILLA,,False
TEGRAL SATIN RED VELET CAKE PURATOS,,False
TEGRAL SATIN RED VELVET CAKE PURATOS,,False
TEGRAL SATIN RED VELVET PURATOS,,False
TRANSFER,,False
TRANSFER HOJA DE ARROZ GRUESA,,False
TREGAL SATIN CREME CA,,False
TREGAL SATIN CREME CAKE CHOCOLATE,,False
TREGAL SATIN CREME CAKE VAINILLA,,False
TURIN AMARGO,,False
TURIN CONEJOS MINI 120 GR,,False
TURIN SEMI TROZO,,False
TURIN SEMIAMARGO,,False
TURIN TUBO BAILEYS 200 G,,False
VAINILLA,,False
"VARIOS ARTICULOS (DOMO, BASES, CAKETOPPER, SPRINKLES)",,False
VASO 4 ANCHO REYMA C/,,False
VELA BABY YODA,,False
VELA CHISPA,,False
VELA ESPIRAL COLOR PRIMARIO ALEGR,,False
VELA FELIZ CUMPLEANOS,,False
VELAS,,False
VINIL BRILLANTE 140X50 CM,,False
WYBOROWA,,False
YAHEL PLATANO 500GR,,False
ZULKA AZUCAR GLASS 500 G,,False
ZULKA GLASS,,False
